Time,Emissions,d13C,OrgC,OrgCd13C
1.1545,0.1645,-4.7222,0,0
3.0734,0.4458,-13.75,0,0
5.7027,0.5822,-12.3611,0,0
7.1298,0.2993,-14.5833,0,0
8.9981,0.2827,-13.3333,0,0
11.0844,0.276,-13.8889,0,0
12.9614,0.2692,-15.2778,0,0
15.052,0.2677,-16.25,0,0
17.147,0.271,-17.0833,0,0
19.2231,0.2527,-16.5278,0,0
21.0695,0.2111,-9.8611,0,0
23.1544,0.2028,-9.0278,0,0
25.2421,0.1978,-9.5833,0,0
27.3298,0.1928,-10.2778,0,0
29.4117,0.1811,-10.8333,0,0
30.8704,0.1745,-11.3889,0,0
33.3939,0.1895,-9.5833,-0.0419,-31.1111
35.2738,0.1861,-2.9167,-0.0602,-31.1111
37.3572,0.1761,-2.0833,-0.0652,-31.1111
39.6497,0.1662,-1.9444,-0.0652,-30.9722
41.1054,0.1562,-1.6667,-0.0635,-30.8333
43.1917,0.1495,-1.5278,-0.0635,-30.6944
45.2779,0.1429,-1.5278,-0.0635,-30.5556
47.1318,0.1096,0,-0.0669,-30.4167
49.0059,0.0996,0,-0.0702,-30.4167
50.8801,0.0896,0,-0.0718,-30.2778
53.3818,0.0796,0,-0.0702,-30.1389
55.6758,0.0713,0,-0.0735,-30.1389
57.3436,0.0646,0,-0.0718,-30
59.2149,0.0513,-5.6944,-0.0685,-30
61.0861,0.038,-44.3056,-0.0602,-29.8611
62.9617,0.0297,-49.7222,-0.0619,-29.7222
65.2572,0.023,-49.4444,-0.0585,-29.7222
67.5483,0.0114,-49.8611,-0.0402,-29.7222
69.4108,0,0,-0.0119,-29.5833
86.9868,0,0,-8.60E-03,-29.4444
89.2838,0,0,-0.0136,-29.4444
91.5851,0,0,-0.0136,-29.5833
93.8849,0,0,-0.0153,-29.4444
95.7677,0,0,-0.0153,-29.3056
97.2336,0,0,-0.0136,-29.3056
99.5377,0,0,-0.0103,-29.1667
