Time,Emissions,d13C,OrgC,OrgCd13C
0.9395,0.1592,-4.7222,0,0
3.0271,0.4424,-13.75,0,0
4.6973,0.5758,-12.3611,0,0
6.9937,0.2957,-14.4444,0,0
9.0814,0.2857,-13.3333,0,0
10.7516,0.2757,-13.8889,0,0
13.048,0.2706,-15.1389,0,0
15.1357,0.2706,-15.9722,0,0
17.2234,0.2705,-17.0833,0,0
19.1023,0.2522,-16.8056,0,0
20.9811,0.2122,-9.8611,0,0
23.0689,0.2038,-9.0278,0,0
25.5741,0.1921,-9.4444,0,0
27.2443,0.187,-10.2778,0,0
29.1232,0.1787,-10.6944,0,0
31.0021,0.177,-11.3889,0,0
33.0898,0.1469,-4.7222,0,0
35.1775,0.1252,0,0,0
37.0564,0.1118,0,0,0
38.9353,0.1002,0,0,0
40.8142,0.0918,0,0,0
42.9019,0.0868,0,0,0
45.1983,0.0767,0,0,0
47.0772,0.04,0,0,0
48.9562,0.0317,0,0,0
51.2526,0.015,0,0,0
53.3403,8.28E-03,0,0,0
